Table with row headers in column A and column headers in rows 5 through 6 and rows 46 through 47.,,,,,,,,,,,,
"Table 12.  Population 15 Years Old and Over Enrolled in Vocational Courses, by Employment Status, Age, Sex, Race, and Hispanic Origin:  October 2002",,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,,,
All Races,Total,,,Employed full time,,,Employed part time,,,Not employed,,
,Total,No vocational courses,Vocational courses,Total,No vocational courses,Vocational courses,Total,No vocational courses,Vocational courses,Total,No vocational courses,Vocational courses
Both Sexes,,,,,,,,,,,,
.Total," 222,396 "," 217,888 "," 4,508 "," 117,223 "," 114,617 "," 2,606 "," 21,041 "," 20,429 ", 612 ," 84,132 "," 82,842 "," 1,290 "
..15 to 19 years old," 20,094 "," 19,812 ", 282 ," 2,237 "," 2,204 ", 34 ," 4,407 "," 4,314 ", 93 ," 13,449 "," 13,293 ", 155 
..20 to 24 years old," 19,461 "," 18,741 ", 720 ," 10,103 "," 9,833 ", 270 ," 3,149 "," 2,984 ", 165 ," 6,208 "," 5,923 ", 285 
..25 to 34 years old," 38,485 "," 37,447 "," 1,038 "," 27,627 "," 26,971 ", 656 ," 3,023 "," 2,923 ", 100 ," 7,835 "," 7,553 ", 282 
..35 to 44 years old," 43,728 "," 42,590 "," 1,138 "," 31,825 "," 31,022 ", 803 ," 3,398 "," 3,301 ", 96 ," 8,505 "," 8,267 ", 238 
..45 to 64 years old," 66,772 "," 65,611 "," 1,161 "," 42,904 "," 42,099 ", 805 ," 5,103 "," 4,968 ", 134 ," 18,766 "," 18,544 ", 222 
..65 years and over," 33,857 "," 33,687 ", 170 ," 2,527 "," 2,487 ", 40 ," 1,961 "," 1,938 ", 23 ," 29,369 "," 29,262 ", 107 
.EDUCATIONAL ATTAINMENT," 222,396 "," 217,888 "," 4,508 "," 117,223 "," 114,617 "," 2,606 "," 21,041 "," 20,429 ", 612 ," 84,132 "," 82,842 "," 1,290 "
..Not a high school graduate," 44,579 "," 44,335 ", 244 ," 12,196 "," 12,108 ", 88 ," 4,331 "," 4,307 ", 24 ," 28,052 "," 27,920 ", 132 
..High school graduate only," 68,823 "," 67,766 "," 1,057 "," 37,301 "," 36,749 ", 551 ," 5,353 "," 5,219 ", 134 ," 26,169 "," 25,797 ", 372 
..Some College no degree," 57,473 "," 55,709 "," 1,764 "," 32,604 "," 31,693 ", 910 ," 7,104 "," 6,805 ", 299 ," 17,766 "," 17,211 ", 555 
