total files : 2777 
total packets : 130 
Packet Number 	 Occurences 	 Run Number 	 Error 	 Weighted mean error 
11190 	 281 	66484 	 0.281322 	  Not a good physic run  
 11190 	 281 	66940 	 0.305014 	  Not a good physic run  
 11190 	 281 	67014 	 0.189189 	  Not a good physic run  
 11190 	 281 	67227 	 0.0861356 	  Not a good physic run  
 11190 	 281 	67245 	 0.0792453 	  Not a good physic run  
 11190 	 281 	67265 	 0.267646 	  Not a good physic run  
 11190 	 281 	67269 	 0.260965 	  Not a good physic run  
 11190 	 281 	67282 	 0.52694 	 0.00271683875974155 
 11190 	 281 	67283 	 0.330002 	 0.000680287055483124 
 11190 	 281 	67289 	 0.41964 	 0.000387642967324125 
 11190 	 281 	67567 	 0.288007 	 0.000420248386294698 
 11190 	 281 	67571 	 0.0139785 	  Not a good physic run  
 11190 	 281 	67631 	 0.361002 	 0.000337814756976413 
 11190 	 281 	67643 	 0.0751445 	 1.75415663235564e-05 
 11190 	 281 	67658 	 0.175452 	 3.69554007518539e-05 
 11190 	 281 	67798 	 0.021611 	 8.94293698324761e-06 
 11190 	 281 	67799 	 0.264045 	 0.000151122682972091 
 11190 	 281 	67849 	 0.266214 	 0.000166855589904572 
 11190 	 281 	68023 	 0.0986263 	 7.4621387979004e-05 
 11190 	 281 	68026 	 0.110836 	 3.55244850667476e-05 
 11190 	 281 	68038 	 0.374022 	 0.000106983546408593 
 11190 	 281 	68041 	 0.251462 	 1.93158018216667e-05 
 11190 	 281 	68125 	 0.40029 	 0.000151611713456413 
 11190 	 281 	68126 	 0.366743 	 0.000540247338295683 
 11190 	 281 	68151 	 0.0300041 	  Not a good physic run  
 11190 	 281 	69440 	 0.272727 	  Not a good physic run  
 11190 	 281 	69472 	 0.1122 	  Not a good physic run  
 11190 	 281 	69476 	 0.103896 	  Not a good physic run  
 11190 	 281 	69486 	 0.0294438 	 2.60807325975943e-06 
 11190 	 281 	69492 	 0.24026 	 1.05632398448919e-05 
 11190 	 281 	69493 	 0.100427 	 4.32842620543668e-06 
 11190 	 281 	69502 	 0.593713 	 0.000779907354791357 
 11190 	 281 	69637 	 0.049505 	  Not a good physic run  
 11190 	 281 	69641 	 0.105263 	  Not a good physic run  
 11190 	 281 	69649 	 0.433517 	 0.000622482970825574 
 11190 	 281 	69650 	 0.0142578 	 2.37307508189201e-05 
 11190 	 281 	69652 	 0.162813 	 0.000134884110312781 
 11190 	 281 	69654 	 0.171601 	  Not a good physic run  
 11190 	 281 	69656 	 0.279777 	 0.000230492217710529 
 11190 	 281 	69658 	 0.256761 	 0.000233245759448214 
 11190 	 281 	69659 	 0.310454 	 3.1606496761894e-05 
 11190 	 281 	69706 	 0.0810811 	  Not a good physic run  
 11190 	 281 	69821 	 0.304752 	 0.000390753969662974 
 11190 	 281 	69823 	 0.287566 	 0.000529093543224691 
 11190 	 281 	69826 	 0.0379464 	 2.11715806811055e-05 
 11190 	 281 	69830 	 0.247653 	 6.2735555351784e-05 
 11190 	 281 	69831 	 0.0538117 	 6.0046503118868e-06 
 11190 	 281 	69849 	 0.0882353 	  Not a good physic run  
 11190 	 281 	70066 	 0.218182 	  Not a good physic run  
 11190 	 281 	70072 	 0.350453 	 0.000258586969693542 
 11190 	 281 	70073 	 0.250825 	 0.000471484414314037 
 11190 	 281 	70074 	 0.0125945 	 4.22137447657213e-06 
 11190 	 281 	70075 	 0.232206 	 0.000184726484107972 
 11190 	 281 	70076 	 0.285942 	 0.000742222141572515 
 11190 	 281 	70087 	 0.131181 	 0.000186754236981591 
 11190 	 281 	70088 	 0.256367 	 1.68878105175093e-05 
 11190 	 281 	70092 	 0.394378 	 4.46837484620357e-05 
 11190 	 281 	70093 	 0.250417 	 7.1661265143393e-05 
 11190 	 281 	70101 	 0.116279 	  Not a good physic run  
 11190 	 281 	70108 	 0.0588235 	  Not a good physic run  
 11190 	 281 	70236 	 0.235897 	 9.57336143090488e-05 
 11190 	 281 	70394 	 0.0882353 	  Not a good physic run  
 11190 	 281 	70451 	 0.218458 	 0.00059149263620514 
 11190 	 281 	70454 	 0.035818 	 7.38266480434713e-06 
 11190 	 281 	70456 	 0.66183 	 0.00121729827350009 
 11190 	 281 	70685 	 0.195595 	 7.5728525692557e-05 
 11190 	 281 	70687 	 0.316934 	 0.000822074395430334 
 11190 	 281 	70726 	 0.1 	  Not a good physic run  
 11190 	 281 	70727 	 0.0491803 	  Not a good physic run  
 11190 	 281 	70783 	 0.221805 	 5.53443815311388e-05 
