Name	Mimetype
.tmp4981956992927433931.instance	text/plain
026507.fits	image/fits
031850.dbase3	application/octet-stream
094323.hlp	application/winhlp
143975.html	text/html
260647.hlp	application/winhlp
277478.wp	application/vnd.wordperfect
293915.tmp	text/plain
301734.data	application/octet-stream
311834.f	text/x-fortran
341532.exported	text/html
378258.dbase3	application/octet-stream
484977.chp	application/octet-stream
491723.kml	application/vnd.google-earth.kml+xml
551435.dwf	application/octet-stream
553194.123	application/vnd.lotus-1-2-3
569192.tmp	text/plain
594782.kmz	application/vnd.google-earth.kmz
599925.g3	image/fax-g3
619494.lnk	application/octet-stream
623791.sgml	text/sgml
637284.swf	application/vnd.adobe.flash.movie
637402.wk3	application/vnd.lotus-1-2-3
654841.sql	application/sql
657038.jar	application/x-java-archive
659384.eps	image/x-eps
667839.fm	application/vnd.framemaker
671821.eps	image/x-eps
712479.swf	application/vnd.adobe.flash.movie
724248.wk1	application/vnd.lotus-1-2-3
740499.xbm	image/x-xbitmap
815553.gls	application/octet-stream
865132.kmz	application/vnd.google-earth.kmz
885367.dwf	application/octet-stream
938925.icns	image/x-icns
939026.mac	application/octet-stream
978849.wp	application/vnd.wordperfect
994276.xbm	image/x-xbitmap
configurationrsp.rsp	text/plain
dla-sample-hirdina.kw	application/x-kword
dla-sample-zahl.aw	application/x-applix-word
eclipse.ini	text/plain
imdisplay.exe	application/x-ms-dos-executable
indices.xmi	text/x-xmi
jhove.conf	application/xml
nature.css_t	text/x-csrc
PDFA1bCompliance.kfp	application/xml
PFLANZEN.WKS	application/vnd.lotus-1-2-3
regex2.dll	application/x-sharedlib
theme.conf	text/plain
_STF2dollargamma3D.m	text/x-objcsrc
186118.bmp	image/bmp
396060.gif	image/gif
505769.gif	image/gif
725908.jpg	image/jpeg
gray25.png	image/png
790390.java	text/x-java
bower.json	application/json
CountMillionCharacter.py	text/x-python
DateiUmbenennen.bat	text/plain
fido.py	text/x-python
javascript.js	application/javascript
Test.cs	text/x-csharp
658101.sys	application/octet-stream
951851.sys	application/octet-stream
059918.doc	application/msword
100.mat	application/octet-stream
212651.pptx	application/vnd.openxmlformats-officedocument.presentationml.presentation
281480.pub	application/vnd.ms-publisher
287886.ppt	application/vnd.ms-powerpoint
325680.xlsx	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
371802.pps	application/vnd.ms-powerpoint
393024.pst	application/postscript
411829.xls	application/vnd.ms-excel
534461.csv	text/csv
669112.ppt	application/vnd.ms-powerpoint
785406_MSWORD9.doc	application/msword
823181_MSWORD10.doc	application/msword
bevdicht.xls	application/vnd.ms-excel
GEOMOR8.DOC	application/msword
JOHN1.DOC	application/msword
sample.mdb	application/vnd.ms-access
047565.log	text/x-log
116939.xml	application/xml
277479.rtf	application/rtf
418258.txt	text/plain
682190.text	application/msword
705864.ps	application/postscript
740955.odp	application/vnd.oasis.opendocument.presentation
756776.pdf	application/pdf
dc.xsd	application/xml
DEUTSCH.WRI	application/x-mswrite
LICENSE.txt	text/plain
font.css	text/css
PdfMetadataStyle.xsl	application/xslt+xml
pygments.css	text/css
my-gvfs-info.sh	application/x-shellscript
results.txt	text/plain
